,title,city,venue,price,genre,link,description
0,Horn OK Please - The Happiest Food Festival | Bengaluru Edition,bengaluru,"White Orchid Ground, Bengaluru",99 Onwards,FOOD FEST,https://insider.in/horn-ok-please-the-happiest-food-festival-bengaluru-edition-oct15-2022/event,"Horn OK Please - Delhi NCR's Happiest Food Festival that already has a permanent place in the hearts of all Delhiites with 8 editions is now all set to woo Bangaloreans too! Horn OK Please is coming to Bangalore this October and you have every reason to be SUPER pumped about it!

Get ready to experience Bangalore’s choicest and most exciting restaurants, undiscovered yet completely snag-worthy pop-ups, chilled pints of beer, a refreshing cocktail bar and so much more. Talented homegrown bands will make you croon, dance and shout out happily, setting the perfect mood for a weekend well spent, and you’ll be plenty busy with entertaining activities at every nook & corner. 

Expect a festival vibe like no other with eye-popping and aesthetic decor along with Insta-worthy photo-ops that will make for the best stories. 

So, Bangalore waalon, get ready to experience the REAL fun, Dilli style, and absorb yourselves in complete exuberance and craziness for the weekend with LIT vibes and happy faces! Venue
White Orchid Ground
9, Adjacent to Manyata Embassy Business Park, Manyata Tech Park Road Hebbal-K R Puram Ring Road, Nagavara, DadaMastan Layout, Manayata Tech Park, Nagavara, Bengaluru, Karnataka 560045, India
GET DIRECTIONS"
1,Ritviz – ‘Mimmi’ Album Launch Tour,bengaluru,"Venue to be announced, Pan India",Sign Up,MUSIC,https://insider.in/ritviz-mimmi-album-launch-tour-2022/event,"Ritviz just dropped his debut full length album ‘Mimmi’ and word on the street is that it’s the earworm of the year. But what good is an earworm if you can’t be out there singing each song out loud along with thousands of other people. Not to worry, while Mimmi keeps you company over the next two months, we’re working on bringing to you a concert like no other. Sign up right now and be mehfooz. Be the first to receive all the latest information on our tour.
About Ritviz
Crowned as the highest streamed Indian indie artist on Spotify in India, Ritviz is undeniably one of the most unique names in music to come out of the Indian subcontinent. With a number of chart-topping hits to his name - Udd Gaye, Sage & Liggi to name a few, Ritviz has managed to showcase a sound that is inimitable to say the least. Turning a new leaf in his artistic journey, Ritviz is set to make heads bob and feet dance uncontrollably with his debut full length album ‘Mimmi’ which released worldwide on September 2nd, 2022.Listen to Mimmi!"
2,The Gin Explorers Club - Mythical Edition,bengaluru,"Jayamahal Palace Hotel, Bengaluru",600 onwards,DRINKS & MORE,https://insider.in/the-gin-explorers-club-mythical-edition-nov5-2022/event,"BENGALURU, we’re so excited to have India’s BIGGEST Celebration of GIN finally headed to you!
 Presenting, The Gin Explorers Club - Mythical Edition.
 Come step into Gin City, where our mythical paradise awaits you… far from the realms of reality, we invite you to join us for a juniper-fuelled exploration. 
Sip, sway and revel in our botanical wonderland.
 Grab your Early Bird tickets NOW!

What to expect?

The finest selection of International and Indian Gins to explore
Music line-up with live acts and DJ sets
Pop-up restaurants to bring you the best of the city’s flavours
 Gin Explorers Club is here to get your imagination running wild into our magical Gin City. ‘Sip’ your way into a land that goes beyond what the mind fathoms, when the clock strikes #GinOClock!

Participating Brands
(To be announced soon)
 Artist Lineup
Get ready to vibe to the beats of some of the biggest acts the city has seen!
(Details to be announced soon)Gin Explorers Club"
3,Supermoon ft. B Praak – King of Hearts Tour - Bengaluru,bengaluru,"Manpho Convention Centre, Bengaluru",999 Onwards,MUSIC,https://insider.in/supermoon-ft-b-praak-king-of-hearts-tour-bengaluru-october8-2022/event,"The much-awaited, soul-soothing experience is coming to your city for the first time ever with Supermoon ft. B Praak – King of Hearts Tour! 

It’s time to embrace the soulful voice of B Praak and enter the world of pure magic with a live symphony. 

The exceptional B Praak is all set to take you on a heart-warming tour, are you? 

Watch B Praak LIVE in Bengaluru on 8th October

An epic night awaits you. Book your tickets for Supermoon ft. B Praak – King of Hearts Tour now! 


About B Praak:
B Praak is a Punjabi singer and son of famed Punjabi composer Varinder Bachan. He started his career in music direction before debuting as a singer with the hit song Mann Bharrya.

Recognised as one of India’s royal artists, ‘His Highness’ has churned out megahits like “Do you know”, “Horn Blow”, “Backbone”, “Baarish Ki Jaaye”, “Teri Mitti”, & “Filhall” (amongst many other hit songs) that have uplifted the Punjabi and Hindi music industry. A heartthrob and award-winning producer, the famed artist derives inspiration from AR Rahman and Jazzy B.

Don’t miss the chance to watch B Praak LIVE for the first time ever in India at Supermoon ft. B Praak – King of Hearts Tour.Supermoon ft. B Praak - King Of Hearts Tour | Promo"
4,Hero Indian Super League 2022-23: Bengaluru FC vs NorthEast United FC,bengaluru,"Sree Kanteerava Stadium, Bengaluru",99 Onwards,FOOTBALL,https://insider.in/hero-indian-super-league-2022-23-bengaluru-fc-vs-northeast-united-fc/event,"Venue
Sree Kanteerava Stadium
2, Raja Ram Mohan Roy Rd, Nunegundlapalli, D' Souza Layout, Sampangi Rama Nagar, Bengaluru, Karnataka 560001
GET DIRECTIONSTerms & Conditions"
5,The Non Violinist Project,bengaluru,"Fandom at Gilly's Redefined, Bengaluru",499,MUSIC,https://insider.in/the-non-violinist-project-sep30-2022/event,"Okay, Bangalore!! We can't wait for our maiden LIVE gig at the one and only FANDOM. Come join us for a night of maximum energy with all our released and some unreleased originals along with some your favorites with our spin to it! Save the date and come say hi!
30th Sept 2022 | Friday | 8:00 pm

About The Non-Violinist Project -
The NonViolinist Project is a coalescence of musicians from diverse musical backgrounds to form an entity that is both modern in sound and yet rooted in aesthetics. With Shravan Sridhar on violin, Kumaran on Drums, Elvis Gabriel on guitars, Marshall Robinson on Keys and synths, Sooraj Kumarr on Bass; the band's sound is very eclectic drawing inspiration from a myriad of genres, including blues, jazz, Latin, Afro-Cuban, Gospel, Indie rock and even Electronical all amalgamated by the thread of Indian Classical Carnatic and Hindustani."
6,BANGALORE BIGGEST DANDIYA NIGHT | Navratri 2022,bengaluru,"Kalyani Kala Mandir, Bengaluru",299 onwards,NAVRATRI,https://insider.in/bangalore-biggest-dandiya-night-navratri-2022/event,"BANGALORE'S BIGGEST DANDIYA NIGHT ( 3 Days )
2nd, 3rd ( Neon Dandiya) and 4th October | 06 PM onwards | Brought
to you by Brainbox Inc along with BinB at Kalyani Kala Mandir located opposite
to IIM College  Bannerghatta Biggest venue,
We have been doing Dandiya in Bengaluru every year with full
music, masti, dance and feel.
Get ready for the most happening dandiya Night of south Bangalore.
We get sold out every year that’s why this year we have opted the bigger venue
to give better experience with all necessary precautions.
DANDIYA STICKS WILL BE PROVIDED AT THE VENUE
GARBHA DANCERS
NEON DANDIYA DAY 2, 3rd OCTOBER
CELEBRITY DJ'S
LIVE BAND
Enjoy Exhilarating Music
Unlimited Punjabi Dhol
Live Veg / Non-veg Food Stalls Nominal Rates
-Massive Stage
-Photo Bhooth, theme based decor
See you, DANDIYA lovers
Free Parking"
7,DGTL | Mumbai,bengaluru,"Nesco Center, Mumbai",5000 onwards (Prices excl. of GST),MUSIC,https://insider.in/dgtl-mumbai/event,"DGTL is a festival full of discovery, inspiration and surprise. For 7 years we have tantalised visitors and keep them hungry for more through music, art and production.
DGTL is making a sustainable impact on the global festival landscape. Always mindful of our environmental and social impact, we work with enthusiastic partners to spread our message and expand our reach. We design impressive stages within raw, industrial settings. partnering with the best vjs, we create mesmerising light effects and visuals.

Special bands will be provided for individuals above the legal drinking age.

Please note: Ticket prices are exclusive of GSTArtist Lineup"
8,ANYBODY CAN DANDIYA 2.0 - Biggest Dandiya Event in Bangalore | Navratri 2022,bengaluru,"White Housse, Bengaluru",99 onwards,NAVRATRI,https://insider.in/anybody-can-dandiya-20-navratri-2022/event,"To everybody's delight , We are back with the much loved and long awaited ""ANYBODY CAN DANDIYA 2.0"" 
Come Navratri, Bangalore erupts in a range of colors while swirling to catchy dandiya beats. There is sanctity and festivity in equal measure.
Just like our previous editions, Desi Clans imagine the traditional Navratri experience on a grandeur and more luxurious scale.
The best practices from the land of Dandiya i.e. Gujarat has been brought down to the Silicon valley of India i.e. Bangalore. 
We will showcase varied types of garba, dandiya, fashion show and many other exciting things, in a mesmerizing setting at White Housse, HSR Layout.
Come Join us with your friends and family to experience a breathtaking Dandiya night on 2nd October 2022 ( Sunday) this Navratri.

Event Highlights:
- Melodious artists and team to groove you all evening
- Featuring our favourite DJ Sulectro
- Stupendous Venue - White Housse, HSR Layout, Bangalore.
- Prime Location
- Full Air Conditioned Indoor venue
- Full Carpet Area for Dance
- Non stop Dance and Music
- Free Dandiya sticks
- Trained Garba & Dandiya Dancers
- Fashion Show
- Exclusive act of Dhol
- Photo Booth
- Special awards and giveaways
- Maha Aarti
- Live F&B Stalls
- Parking available
- Rapid action force ( Trained security personnel )

NOTE : Non-veg and Alcohol prohibited.

For further information, Follow us on Instagram , Facebook @desiclans , or contact on 9556188803 , 7077805666AnyBody Can Dandiya 2019"
9,WHITEFIELD BIGGEST DANDIYA UTSAV | Navratri 2022,bengaluru,"Fortune Select Trinity - Hotel in Bengaluru, Bengaluru",299 onwards,NAVRATRI,https://insider.in/whitefield-biggest-dandiya-utsav-navratri-2022/event,"After HOLI GULAAAL SEASON 5 This Time We are bringing the best of the dandiya night on the occasion of Navratri, Having an experience in delivering the best Satisfaction through our events from past 15 years, This time we are celebrating the 5th SEASON OF WHITEFIELD BIGGEST DANDIYA UTSAV IN BANGALORE! 
on 1ST, 2ND & 4TH OF OCTOBER

At Fortune Select Trinity by ITC, Whitefield lawn area and pool side covered if it Rains.
Get ready to immerse yourself in the madness of open air Dandiya celebration.
Bigger venue Biggest Celebration.

Enjoy the most memorable night complemented with the ultimate Navratri experience.

Dazzling dresses, flavorsome food and dandiya dance! It’s that time of the year when you can bring your squad, look your best, and dance your heart’s content to Bollywood tunes. Also enjoy the luscious festive ambience and embrace the colourful traditions through dandiya.

It's that time of the year when your Dandiya and Garba skills come in handy. Show off your garba skills and costumes and stand a chance to win attractive prizes. The Best Dressed couple and Best Dressed Kid shall be awarded.

Also enjoy the mouth-watering Food, Flea Market, Festive Ambience etc., 

Open Area lawn and Pool side
Celebrity DJ'S
Flamboyant Festive Décor
Free Dandiya Sticks
Garba Dancers
Live Dhol Play & Neon Dhol
Bollywood + Garba Theme
Variety Food Stalls
Round the clock security
Healthcare emergency services
Prizes for Garba & Dandiya Competition
Photo Booth

Come and experience the best Dandiya Night with us."
